Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,has characteristic,has parameter,has Runge-Kutta method order,has type,http://data.bioontology.org/metadata/prefixIRI,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.org/dc/terms/created,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/rights,http://www.biomodels.net/kisao/KISAO#isImplementedIn,http://www.biomodels.net/kisao/KISAO#isOrganizational,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2004/02/skos/core#definition,is characteristic of,is generalization of,is hybrid of,is parameter of,is similar to,is used by,uses
http://www.biomodels.net/kisao/KISAO#KISAO_0000654,amount rate,,,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000834,,,,,kisao:KISAO_0000654,,2021-06-04,JRK,,,,,,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000386,scaled preconditioned generalized minimal residual method,SPGMR,"A scaled preconditioned version of 'generalized minimal residual algorithm' [http://identifiers.org/biomodels.kisao/KISAO_0000353]. For linear system Ax = b a preconditioner matrix P that approximates A is sought, for which linear system Px = b can be solved easily. Preconditioning is applied on the left only. Scaling is done using diagonal matrix D whose diagonal elements are weights w^i = rtol|y^i| +atol^i, where rtol is 'relative tolerance' [http://identifiers.org/biomodels.kisao/KISAO_0000209] and atol is 'absolute tolerance' [http://identifiers.org/biomodels.kisao/KISAO_0000211].",false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000353,,,,,kisao:KISAO_0000386,,2011-07-18,AZ,,,,SPGMR,"A scaled preconditioned version of 'generalized minimal residual algorithm' [http://identifiers.org/biomodels.kisao/KISAO_0000353]. For linear system Ax = b a preconditioner matrix P that approximates A is sought, for which linear system Px = b can be solved easily. Preconditioning is applied on the left only. Scaling is done using diagonal matrix D whose diagonal elements are weights w^i = rtol|y^i| +atol^i, where rtol is 'relative tolerance' [http://identifiers.org/biomodels.kisao/KISAO_0000209] and atol is 'absolute tolerance' [http://identifiers.org/biomodels.kisao/KISAO_0000211].",,,,,,,
http://www.biomodels.net/kisao/KISAO#_KISAO_0000810,Reduced eigenvalue matrix,,"The reduced eigenvalue matrix of a model. The dimensions are species by two, where the first column is the real part of the eigenvalues, and the second column is the imaginary part of the eigenvalues.",false,,,http://www.biomodels.net/kisao/KISAO#_KISAO_0000800,,,,,kisao:_KISAO_0000810,,06-03-2021,LPS,,,,,"The reduced eigenvalue matrix of a model. The dimensions are species by two, where the first column is the real part of the eigenvalues, and the second column is the imaginary part of the eigenvalues.",,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000621,stochastic simulation leaping method,,,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000333,,,,,kisao:KISAO_0000621,,2021-04-27,JRK,,,true,,,,,,,,,
http://www.biomodels.net/kisao/KISAO#_KISAO_0000808,Reduced stoichiometry matrix,,The reduced stoichiometry matrix. The dimensions are species by reactions.,false,,,http://www.biomodels.net/kisao/KISAO#_KISAO_0000800,,,,,kisao:_KISAO_0000808,,06-03-2021,LPS,,,,,The reduced stoichiometry matrix. The dimensions are species by reactions.,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000404,symmetricity of matrix,,"In linear algebra, a symmetric matrix is a square matrix that is equal to its transpose.",false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000370,,,,,kisao:KISAO_0000404,,2011-07-19,AZ,,,,,"In linear algebra, a symmetric matrix is a square matrix that is equal to its transpose.",,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000539,minimum factor to change step size by,fac1|dfactor,Minimum factor to increase/decrease step size by in one step. The new step-size is chosen subject to the restriction fac1 <= current step-size / old step-size <= fac2.,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000242,,,,,kisao:KISAO_0000539,,2020-10-29,JRK,,Odespy|https://identifiers.org/biosimulators/gillespy2|JModelica|SciPy,,fac1|dfactor,Minimum factor to increase/decrease step size by in one step. The new step-size is chosen subject to the restriction fac1 <= current step-size / old step-size <= fac2.,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000506,genetic algorithm,GA,"The genetic algorithm (GA) is a computational technique that mimics evolution and is based on reproduction and selection. A GA is composed of individuals that reproduce and compete, each one is a potential solution to the (optimization) problem and is represented by a ""genome"" where each gene corresponds to one adjustable parameter. At each generation of the GA, each individual is paired with one other at random for reproduction. Two offspring are produced by combining their genomes and allowing for ""cross-over"", i.e., the two new individuals have genomes that are formed from a combination of the genomes of their parents. Also each new gene might have mutated, i.e. the parameter value might have changed slightly. At the end of the generation, the algorithm has double the number of individuals. Then each of the individuals is confronted with a number of others to count how many does it outperform (the number of wins is the number of these competitors that represent worse solutions than itself). All the individuals are ranked by their number of wins, and the population is again reduced to the original number of individuals by eliminating those which have worse fitness (solutions).",false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000520,,,,,kisao:KISAO_0000506,,2019-01-18,AZ,,https://identifiers.org/biosimulators/copasi,,GA,"The genetic algorithm (GA) is a computational technique that mimics evolution and is based on reproduction and selection. A GA is composed of individuals that reproduce and compete, each one is a potential solution to the (optimization) problem and is represented by a ""genome"" where each gene corresponds to one adjustable parameter. At each generation of the GA, each individual is paired with one other at random for reproduction. Two offspring are produced by combining their genomes and allowing for ""cross-over"", i.e., the two new individuals have genomes that are formed from a combination of the genomes of their parents. Also each new gene might have mutated, i.e. the parameter value might have changed slightly. At the end of the generation, the algorithm has double the number of individuals. Then each of the individuals is confronted with a number of others to count how many does it outperform (the number of wins is the number of these competitors that represent worse solutions than itself). All the individuals are ranked by their number of wins, and the population is again reduced to the original number of individuals by eliminating those which have worse fitness (solutions).",,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000219,maximum Adams order,Adams max order|maximum non-stiff order,This parameter is a positive integer value specifying the maximal order the non-stiff Adams integration method [http://identifiers.org/biomodels.kisao/KISAO_0000289] shall attempt before switching to the stiff BDF method [http://identifiers.org/biomodels.kisao/KISAO_0000288].,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000484,,,,,kisao:KISAO_0000219,,,,,,,Adams max order|maximum non-stiff order,This parameter is a positive integer value specifying the maximal order the non-stiff Adams integration method [http://identifiers.org/biomodels.kisao/KISAO_0000289] shall attempt before switching to the stiff BDF method [http://identifiers.org/biomodels.kisao/KISAO_0000288].,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000099,type of system behaviour,,"A characteristic describing the rules the algorithm uses to simulate the temporal evolution of a system, specifically whether or not the final state is uniquely determined from a precise initial state.",false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000097,,,,,kisao:KISAO_0000099,,,AZ,,,true,,"A characteristic describing the rules the algorithm uses to simulate the temporal evolution of a system, specifically whether or not the final state is uniquely determined from a precise initial state.",,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000543,stability limit detection flag,,Flag to activate stability limit detection.,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000243|http://www.biomodels.net/kisao/KISAO#KISAO_0000242,,,,,kisao:KISAO_0000543,,2020-10-29,JRK,,SUNDIALS,,,Flag to activate stability limit detection.,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000510,truncated Newton,,The Truncated Newton method is a sophisticated variant of the Newton optimization method. The Newton optimization method searches for the minimum of a nonlinear function by following descent directions determined from the function's first and second partial derivatives. The Truncated Newton method does an incomplete (truncated) solution of a system of linear equations to calculate the Newton direction. This means that the actual direction chosen for the descent is between the steepest descent direction and the true Newton direction.,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000471,,,,,kisao:KISAO_0000510,,2019-01-18,AZ,,https://identifiers.org/biosimulators/copasi,,,The Truncated Newton method is a sophisticated variant of the Newton optimization method. The Newton optimization method searches for the minimum of a nonlinear function by following descent directions determined from the function's first and second partial derivatives. The Truncated Newton method does an incomplete (truncated) solution of a system of linear equations to calculate the Newton direction. This means that the actual direction chosen for the descent is between the steepest descent direction and the true Newton direction.,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000358,biconjugate gradient method,BiCG|BCG|Bi-CG,The biconjugate gradient method provides a generalization of conjugate gradient method [http://identifiers.org/biomodels.kisao/KISAO_0000357] to non-symmetric matrices.,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000354,,,,,kisao:KISAO_0000358,,2011-06-10,AZ,,,,BiCG|BCG|Bi-CG,The biconjugate gradient method provides a generalization of conjugate gradient method [http://identifiers.org/biomodels.kisao/KISAO_0000357] to non-symmetric matrices.,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000325,minimum fast/discrete reaction occurrences number,,"Parameter of 'equation-free probabilistic steady-state approximation' method  [http://identifiers.org/biomodels.kisao/KISAO_0000323], which describes the minimum number of fast/discrete reaction occurrences before their effects cause convergence to a quasi-steady-state distribution.",false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000242,,,,,kisao:KISAO_0000325,,2011-06-02,AZ,,,,,"Parameter of 'equation-free probabilistic steady-state approximation' method  [http://identifiers.org/biomodels.kisao/KISAO_0000323], which describes the minimum number of fast/discrete reaction occurrences before their effects cause convergence to a quasi-steady-state distribution.",,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000421,type of validation,,Parameter of 'partial least squares regression method' [http://identifiers.org/biomodels.kisao/KISAO_0000416] describing how validation is performed. Possible values include cross-validation and test set validation.,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000201,,,,,kisao:KISAO_0000421,,2012-01-18,AZ,,,,,Parameter of 'partial least squares regression method' [http://identifiers.org/biomodels.kisao/KISAO_0000416] describing how validation is performed. Possible values include cross-validation and test set validation.,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000824,aggregation function,,"A function that aggregates a set of results, reducing its dimension(s). Examples include functions that compute minima or maxima of sets of values.",false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000633,,,,,kisao:KISAO_0000824,,06-03-2021,LPS,,,true,,"A function that aggregates a set of results, reducing its dimension(s). Examples include functions that compute minima or maxima of sets of values.",,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000556,relative quadrature tolerance,,Relative error tolerance of the adjoint solution.,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000209,,,,,kisao:KISAO_0000556,,2020-10-29,JRK,,https://identifiers.org/biosimulators/amici|SUNDIALS,,,Relative error tolerance of the adjoint solution.,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000589,ACB flux sampling method,Artificial centering boundary flux sampling method,,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000588,,,,,kisao:KISAO_0000589,,2020-10-29,JRK,,https://identifiers.org/biosimulators/cobratoolbox,,Artificial centering boundary flux sampling method,,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000523,cooling factor,,"Rate by which the temperature is reduced from one cycle to the next, given by the formula: Tnew=Told*""Cooling Factor"". The simulated annealing algorithm works best if the temperature is reduced at a slow rate, so this value should be close to 1.",false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000521,,,,,kisao:KISAO_0000523,,2019-01-18,AZ,,,,,"Rate by which the temperature is reduced from one cycle to the next, given by the formula: Tnew=Told*""Cooling Factor"". The simulated annealing algorithm works best if the temperature is reduced at a slow rate, so this value should be close to 1.",,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000453,ordered updating policy,,An updating policy that chooses a transition in a definite way.,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000451,,,,,kisao:KISAO_0000453,,2013-01-28,AZ,,,,,An updating policy that chooses a transition in a definite way.,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000428,matrix for clusterization,,A matrix to do the clustering in 'hierarchical cluster-based partial least squares regression method' [http://identifiers.org/biomodels.kisao/KISAO_0000417].,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000429,,,,,kisao:KISAO_0000428,,2012-01-18,AZ,,,,,A matrix to do the clustering in 'hierarchical cluster-based partial least squares regression method' [http://identifiers.org/biomodels.kisao/KISAO_0000417].,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000497,KLU,"""Clark Kent"" LU factorization algorithm","KLU is a software package and an algorithm for solving sparse unsymmetric linear systems of equations that arise in circuit simulation applications. It relies on a permutation to Block Triangular Form (BTF), several methods for finding a fill-reducing ordering (variants of approximate minimum degree and nested dissection), and Gilbert/Peierls’ sparse left-looking LU factorization algorithm to factorize each block. The package is written in C and includes a MATLAB interface.",false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000000,,,,,kisao:KISAO_0000497,,2017-01-09,AZ,,,,"""Clark Kent"" LU factorization algorithm","KLU is a software package and an algorithm for solving sparse unsymmetric linear systems of equations that arise in circuit simulation applications. It relies on a permutation to Block Triangular Form (BTF), several methods for finding a fill-reducing ordering (variants of approximate minimum degree and nested dissection), and Gilbert/Peierls’ sparse left-looking LU factorization algorithm to factorize each block. The package is written in C and includes a MATLAB interface.",,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000338,h-version of the finite element method,h-method|h-FEM,"Classical form of the 'finite element method' [http://identifiers.org/biomodels.kisao/KISAO_0000337], in which polynomials of fixed degree p are used and the mesh is refined to increase accuracy. Can be considered as a special case of the h-p version [http://identifiers.org/biomodels.kisao/KISAO_0000340].",false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000337,,,,,kisao:KISAO_0000338,,2011-06-07,AZ,,,,h-method|h-FEM,"Classical form of the 'finite element method' [http://identifiers.org/biomodels.kisao/KISAO_0000337], in which polynomials of fixed degree p are used and the mesh is refined to increase accuracy. Can be considered as a special case of the h-p version [http://identifiers.org/biomodels.kisao/KISAO_0000340].",,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000639,flux,,A rate through an volume such as of a reaction of a constraint-based models.,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000831,,,,,kisao:KISAO_0000639,,2021-06-04,JRK,,,,,A rate through an volume such as of a reaction of a constraint-based models.,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000108,progression with fixed time step,,"Algorithm, possessing this characteristic, uses time steps of constant length to update the state of a system during the whole simulation.",false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000100,,,,,kisao:KISAO_0000108,,2008-07-08,NLN,,,,,"Algorithm, possessing this characteristic, uses time steps of constant length to update the state of a system during the whole simulation.",,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000606,Hierarchical Stochastic Simulation Algorithm,hSSA,"Fast, memory-efficient method for stochastic simulation of hierarchically organized models, such as a model of a cellular population where each cell in the population is represented by the same species and reactions.",false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000241,,,,,kisao:KISAO_0000606,,2021-01-25,JRK,,https://identifiers.org/biosimulators/ibiosim,,hSSA,"Fast, memory-efficient method for stochastic simulation of hierarchically organized models, such as a model of a cellular population where each cell in the population is represented by the same species and reactions.",,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000560,LSODA/LSODAR hybrid method,,Automatically use LSODA or LSODAR as apropriate for the given problem. Use LSODA if the problem has no roots. Use LSODAR if the problem has roots.,false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000094,,,,,kisao:KISAO_0000560,,2020-10-29,JRK,,https://identifiers.org/biosimulators/copasi,,,Automatically use LSODA or LSODAR as apropriate for the given problem. Use LSODA if the problem has no roots. Use LSODAR if the problem has roots.,,,,,,,
http://www.biomodels.net/kisao/KISAO#KISAO_0000837,particle number,,"The extensive quantity particle number, or, the molar amount of the entity multiplied by Avogadro's number.",false,,,http://www.biomodels.net/kisao/KISAO#KISAO_0000831,,,,,kisao:KISAO_0000837,,06-03-2021,LPS,,,,,"The extensive quantity particle number, or, the molar amount of the entity multiplied by Avogadro's number.",,,,,,,
